Command,Description,Syntax,Parameters,Link,Category,Tags
ls,List information about file(s)," ls [<i>Options</i>]... [<i>File</i>]...
"," -a, --all List all entries including those starting with a dot .
 -A, --almost-all List all entries including those starting with a dot .
 Except for . and .. (implied).
 -b, --escape Print octal escapes for nongraphic characters.
 --block-size=<i>SIZE</i> Use <i>SIZE</i>-byte blocks.
 -B, --ignore-backups Do not list implied entries ending with ~
 -c Sort by change time; with -l: show ctime.
 -C List entries by columns.
 --color[=<i>WHEN</i>] Control whether color is used to distinguish file
 types. <i>WHEN</i> can be 'never', 'always', or 'auto'
 -d, --directory List directory entries instead of contents.
 -D, --dired Generate output designed for Emacs' dired mode.
 -f Do not sort, enable -aU, disable -lst
 -F, --classify Append indicator (one of */=@|) to entries.
 --format=<i>WORD</i> Across -x, commas -m, horizontal -x, long -l,
 single-column -1, verbose -l, vertical -C
 --full-time List both full date and full time
 -g (ignored)
 -G, --no-group Inhibit display of group information.
 -h, --human-readable Print sizes in human readable format (e.g., 1K 234M 2G)
 -H, --si Likewise, but use powers of 1000 not 1024
 --indicator-style=<i>WORD</i> Append indicator with style <i>WORD</i> to entry names:
 none (default), classify (-F), file-type (-p)
 -i, --inode Print index number of each file.
 -I, --ignore=<i>PATTERN</i> Do not list implied entries matching shell <i>PATTERN</i>
 -k, --kilobytes Like --block-size=1024
 -l Use a long listing format.
 -L, --dereference List entries pointed to by symbolic links.
 -m Fill width with a comma separated list of entries.
 -n, --numeric-uid-gid List numeric UIDs and GIDs instead of names.
 -N, --literal Print raw entry names (don't treat e.g. control
 characters specially).
 -o Use long listing format without group info.
 -p, --file-type Append indicator (one of /=@|) to entries.
 -q, --hide-control-chars Print ? instead of non graphic characters.
 --show-control-chars Show non graphic characters as-is (default)
 -Q, --quote-name Enclose entry names in double quotes
 --quoting-style=<i>WORD</i> Use quoting style <i>WORD</i> for entry names:
 literal, shell, shell-always, c, escape.
 -r, --reverse Reverse order while sorting.
 -R, --recursive List subdirectories recursively.
 -s, --size Print size of each file, in blocks.
 -S Sort by file size.
 --sort=<i>WORD</i> time -t, version -v, status -c 
 size -S, extension -X, none -U
 atime -u, access -u, use -u
 
 --time=<i>WORD</i> Show time as <i>WORD</i> instead of modification time:
 atime, access, use, ctime or status; 
 also use this as a sort key if --sort=time
 -t Sort by modification time.
 -T, --tabsize=<i>COLS</i> Assume tab stops at each <i>COLS</i> instead of 8.
 -u Sort by last access time; with -l: show atime.
 -U Do not sort; list entries in directory order.
 -v Sort by version.
 -w, --width=<i>COLS</i> Assume screen width instead of current value.
 -x List entries by lines instead of by columns.
 -X Sort alphabetically by entry extension.
 -1 List one file per line.
 --help Display help and exit.
 --version Output version information and exit.
",https://ss64.com/bash/ls.html,System Utility,
lsof,List open files," lsof [ -?abChlnNOPRstUvVX ] [ -A A ] [ -c c ] [ +c c ] [ +|-d d ]
 [ +|-D D ] [ +|-f [cfgGn] ] [ -F [f] ] [ -g [s] ] [ -i[i] ]
 [ -k k ] [ +|-L [l] ] [ +|-m m ] [ +|-M ] [ -o [o] ] [ -p s ]
 [ +|-r [t] ] [ -S [t] ] [ -T [t] ] [ -u s ] [ +|-w ]
 [ -x [fl] ] [ -z [z] ] [ -Z [Z] ] [ -- ] [<i>filenames</i>] </pre>
",Not Available,https://ss64.com/bash/lsof.html,System Utility,
lspci,List all PCI devices," lspci [<i>options</i>] 
",Not Available,https://ss64.com/bash/lspci.html,Enumeraiton,
man,Help manual," man [-acdfFhkKtwW] [--path] [-m <i>system</i>] [-p <i>string</i>] [-C <i>config_file</i>]
 [-M <i>pathlist</i>] [-P <i>pager</i>] [-B <i>browser</i>] [-H <i>htmlpager</i>] [-S <i>section_list</i>]
 [<i>section</i>] <i>name</i> ... 
"," -C <i>config_file</i> The configuration file to use; the default is /etc/man.config. (See man.config(5).) 
 -M <i>path</i> The list of directories to search for man pages. Separate the directories with colons.
 An empty list is the same as not specifying -M at all. See SEARCH PATH FOR MANUAL PAGES. 
 -P <i>pager</i> Which pager to use. This option overrides the MANPAGER environment variable, which in turn
 overrides the PAGER variable. By default, man uses /usr/bin/less -is. 
 -B Which browser to use on HTML files. This option overrides the BROWSER environment variable.
 By default, man uses /usr/bin/less-is,
 -H Specify a command that renders HTML files as text. This option overrides the HTMLPAGER environment variable.
 By default, man uses /bin/cat,
 -S <i>section_list</i> List is a colon separated list of manual sections to search. This option overrides the MANSECT environment variable.
 -a By default, man will exit after displaying the first manual page it finds.
 Using this option forces man to display all the manual pages that match name, not just the first.
 -c Reformat the source man page, even when an up-to-date cat page exists.
 This can be meaningful if the cat page was formatted for a screen with a different number of columns,
 or if the preformatted page is corrupted.
 -d Don't actually display the man pages, but do print gobs of debugging information.
 -D Both display and print debugging info.
 -f Equivalent to whatis.
 -F
 --preformat Format only - do not display. 
 -h Print a help message and exit.
 -k Equivalent to apropos.
 -K Search for the specified string in *all* man pages.
 Warning: this can be very slow and can match multiple pages! It helps to specify a section.
 -m <i>system</i> Specify an alternate set of man pages to search based on the system name given.
 -p <i>string</i> Specify the sequence of preprocessors to run before nroff or troff.
 Not all installations will have a full set of preprocessors.
 Some of the preprocessors and the letters used to designate
 them: eqn (e), grap (g), pic (p), tbl (t), vgrind (v), refer (r).
 This option overrides the MANROFFSEQ environment variable.
 -t Use /usr/bin/groff -Tps -mandoc to format the manual page, passing the output to stdout.
 The default output format of /usr/bin/groff -Tps -mandoc is Postscript, refer to the
 manual page of /usr/bin/groff -Tps -mandoc for ways to pick an alternate format.
 Depending on the selected format and the availability of printing devices, the output may
 need to be passed through some filter or another before being printed.
 -w
 --path Don't actually display the man pages, but do print the location(s) of the files that
 would be formatted or displayed. If no argument is given: display (on stdout) the list
 of directories that is searched by man for man pages. If manpath is a link to man, then
 ""manpath"" is equivalent to ""man --path"". 
 -W Like -w, but print file names one per line, without additional information.
 This is useful in shell commands like man -aW man | xargs ls -l 
",https://ss64.com/bash/man.html,System Utility,
mapfile,Read lines from standard input into an indexed array variable •," mapfile [-d <i>delim</i>] [-n <i>count</i>] [-O <i>origin</i>] [-s <i>count</i>] [-t] [-u <i>fd</i>] [-C <i>callback</i>] [-c <i>quantum</i>] [<i>array</i>]
 readarray [-d <i>delim</i>] [-n <i>count</i>] [-O <i>origin</i>] [-s <i>count</i>] [-t] [-u <i>fd</i>] [-C <i>callback</i>] [-c <i>quantum</i>] [<i>array</i>]
"," -d The first character of delim is used to terminate each input line, rather than newline.
 If delim is the empty string, mapfile will terminate a line when it reads a NUL character. 
 -n Copy at most <i>count</i> lines. If <i>count</i> is 0, all lines are copied.
 -O Begin assigning to array at index <i>origin</i>. The default index is 0.
 -s Discard the first <i>count</i> lines read.
 -t Remove a trailing newline from each line read.
 -u Read lines from file descriptor <i>fd</i> instead of the standard input.
 -C Evaluate <i>callback</i> each time quantum lines are read. The -c option specifies quantum.
 -c Specify the number of lines read between each call to callback. </pre>
 
",https://ss64.com/bash/mapfile.html,File Manipulation,
mkdir,Create new folder(s)," mkdir [<i>Options</i>] <i>folder</i>...
 mkdir ""<i>Name with spaces</i>",,https://ss64.com/bash/mkdir.html,System Administration,Disk/Volume Management
mkfifo,Make FIFOs (named pipes)," mkfifo [<i>options</i>] NAME...
",Not Available,https://ss64.com/bash/mkfifo.html,System Administration,
mkfile,Make a file," mkfile [ -nv ] size[b|k|m|g] <i>filename</i> ...
",Not Available,https://ss64.com/bash/mkfile.html,File Manipulation,
mkisofs,Create a hybrid ISO9660/JOLIET/HFS filesystem,Not Available,Not Available,No link available,System Administration,Disk/Volume Management
mknod,Make block or character special files," mknod [<i>options</i>]... <i>NAME </i><i>Type</i> [<i>Major Minor</i>]
",Not Available,https://ss64.com/bash/mknod.html,File Manipulation,
mktemp,Make a temporary file," mktemp [-d] [-q] [-t <i>prefix</i>] [-u] <i>template</i> ...
 mktemp [-d] [-q] [-u] -t <i>prefix</i>
",Not Available,https://ss64.com/bash/mktemp.html,System Administration,Disk/Volume Management
more,Display output one screen at a time," more [-dlfpcsu] [-<i>num</i>] [+/ <i>pattern</i>] [+ <i>linenum</i>] [<i>file</i> ...]
",Not Available,https://ss64.com/bash/more.html,System Utility,
most,Browse or page through a text file," most [-1bCckMstvwz] [+lineno] [+c] [+d] [+s] [+/<i>string</i>] [<i>filename</i>...] 
 Key
 <h2> Configuration File Syntax </h2>
"," -1 VT100 mode. This is meaningful only on VMS systems.
 This option should be used if the terminal is strictly a VT100.
 This implies that the terminal does not have the ability to delete and
 insert multiple lines. VT102s and above have this ability.
 -b Binary mode. Use this switch when you want to view files containing
 8 bit characters. most will display the file 16 bytes per line in
 hexidecimal notation. A typical line looks like:
 01000000 40001575 9C23A020 4000168D ....@..u.#. @... 
 When used with the -v option, the same line looks like:
 ^A^@^@^@ @^@^U u 9C #A0 @^@^V8D ....@..u.#. @...
 -k 'Kanji' option. Ordinarily, most will go into binary mode if the file
 consists of non-ascii characters. Sometimes this feature is not
 desirable since some terminals have a special interpretation for
 eight bit characters. The -k option turns off the automatic sensing.
 -C Disable color support.
 -M Disable the use of mmap.
 -s Squeeze. Replace multiple blank lines with a single blank line.
 -z option turns off gunzip-on-the-fly.
 -v Display control characters as in '^A' for control A.
 Normally most does not interpret control characters.
 -t Display tabs as '^I'. This option is meaningful only when used
 with the -v option. +lineno Start up at lineno.
 +c Make search case sensitive. By default, they are not.
 +d This switch should only be used if you want the option to delete
 a file while viewing it. This makes it easier to clean unwanted
 files out of a directory. The file is deleted with the interactive
 key sequence ':D' and then confirming with 'y'.
 +/<i>string</i>
 Start up at the line containing the first occurrence of string. </pre>
",https://ss64.com/bash/most.html,System Utility,
mount,Mount a file system,Not Available,Not Available,https://ss64.com/bash/mount.html,System Administration,Disk/Volume Management
mtools,Manipulate MS-DOS files,Not Available,Not Available,https://ss64.com/bash/mtools.html,File Manipulation,
mtr,Network diagnostics (traceroute/ping)," mtr [-hvrctglspni46] [--help] [--version] [--report] [--report-cycles <i>COUNT</i>]
 [--curses] [--split] [--raw] [--no-dns] [--gtk] [--address <i>IP.ADD.RE.SS</i>]
 [--interval <i>SECONDS</i>] [--psize <i>BYTES</i> | -s <i>BYTES</i>] <i>HOSTNAME</i> [<i>PACKETSIZE</i>]
"," -c <i>COUNT</i>
 --report-cycles <i>COUNT</i>
 Use this option to set the number of pings sent to determine both the machines on the network and
 the reliability of those machines. Each cycle lasts one second.
 -s <i>BYTES</i>
 --psize <i>BYTES</i>
 <i>PACKETSIZE</i>
 These options or a trailing PACKETSIZE on the commandline set the packet size (in Bytes
 inclusive IP and ICMP headers) used for probing.
 If set to a negative number, every iteration will use a different, random packetsize up to that number. 
 -g
 --gtk
 Force mtr to use the GTK+ based X11 window interface (if available). GTK+ must have
 been available on the system when mtr was built for this to work. See <a href=""https://www.gtk.org/"">GTK+</a>
 -p
 --split
 Set mtr to spit out a format that is suitable for a split-user interface.
 -h
 --help
 Print a summary of command line argument options. 
 -l
 --raw
 Tell mtr to use the raw output format. This format is better suited for archival of the
 measurement results. It could be parsed to be presented into any of the other display methods. 
 -a <i>IP.ADD.RE.SS</i>
 --address<i> IP.ADD.RE.SS</i>
 Bind outgoing packets' socket to a specific interface, so that any packet will be sent
 through this interface. NOTE that this option doesn't apply to DNS requests (which
 could be and could not be what you want). 
 -i <i>SECONDS</i>
 --interval <i>SECONDS</i>
 Use this option to specify the positive number of seconds between ICMP ECHO requests.
 The default value for this parameter is one second. 
 -t
 --curses
 Force mtr to use the curses based terminal interface (if available). 
 -n
 --no-dns
 Force mtr to display numeric IP numbers and not try to resolve the host names. 
 -r
 --report
 Put mtr into report mode. When in this mode, mtr will run for the number of cycles specified by
 the -c option, and then print statistics and exit. 
 This mode is useful for generating statistics about network quality.
 Note that each running instance of mtr generates a significant amount of network traffic.
 Using mtr to measure the quality of your network can result in decreased network performance.
 -v
 --version
 Print the installed version of mtr.
 -4 Use IPv4 only. 
 -6 Use IPv6 only.</pre>
",https://ss64.com/bash/mtr.html,"Enumeration, Networking",
mv,Move or rename files or directories,Not Available,Not Available,https://ss64.com/bash/mv.html,System Administration,Disk/Volume Management
mmv,Mass Move and rename (files)," mmv [<i>Source_Option</i>] [-h] [-d|p] [-g|t] [-v|n] [--] [<i>from</i> <i>to</i>] 
",Not Available,https://ss64.com/bash/mmv.html,File Manipulation,
nc,"Netcat, read and write data across networks"," nc [-46AcCdDhklnrStuUvz] [-b <i>boundif</i>] [-i <i>interval</i>] [-p <i>source_port</i>]
 [-s <i>source_ip_address</i>] [-T ToS] [-w <i>timeout</i>] [-X <i>proxy_protocol</i>]
 [-x <i>proxy_address</i>[:<i>port</i>]] [<i>hostname</i>] [<i>port</i>[s]]
",Not Available,https://ss64.com/bash/nc.html,"File Manipulation, Remote Connectivity",File Transfer
netstat,Networking connections/stats," netstat [<i>address_family_options</i>] [--tcp|-t] [--udp|-u] [--raw|-w] [--listening|-l]
 [--all|-a] [--numeric|-n] [--numeric-hosts][--numeric-ports][--numeric-ports]
 [--symbolic|-N] [--extend|-e[--extend|-e]] [--timers|-o] [--program|-p]
 [--verbose|-v] [--continuous|-c] [delay]
 netstat {--route|-r} [address_family_options] [--extend|-e[--extend|-e]]
 [--verbose|-v] [--numeric|-n] [--numeric-hosts][--numeric-ports][--numeric-ports]
 [--continuous|-c] [delay]
 netstat {--interfaces|-I|-i} [iface] [--all|-a] [--extend|-e]
 [--verbose|-v] [--program|-p] [--numeric|-n] [--numeric-hosts][--numeric-ports][--numeric-ports]
 [--continuous|-c] [delay]
 netstat {--groups|-g} [--numeric|-n] [--numeric-hosts][--numeric-ports][--numeric-ports]
 [--continuous|-c] [delay]
 netstat {--masquerade|-M} [--extend|-e] [--numeric|-n] [--numeric-hosts][--numeric-ports][--numeric-ports]
 [--continuous|-c] [delay]
 netstat {--statistics|-s} [--tcp|-t] [--udp|-u] [--raw|-w] [delay]
 netstat {--version|-V}
 netstat {--help|-h} 
 address_family_options:
 [--protocol={inet,unix,ipx,ax25,netrom,ddp}[,...]] [--unix|-x]
 [--inet|--ip] [--ax25] [--ipx] [--netrom] [--ddp]</pre>
"," FREE The socket is not allocated 
 LISTENING The socket is listening for a connection request.
 Such sockets are only included in the output if you specify the --listening (-l) or --all (-a) option. 
 CONNECTING The socket is about to establish a connection. 
 CONNECTED The socket is connected. 
 DISCONNECTING The socket is disconnecting. 
 (empty) The socket is not connected to another one. 
 UNKNOWN This state should never happen.
 PID/Program name Process ID (PID) and process name of the process that has the socket open.
 More info available in Active Internet connections section written above.
 Path This is the path name as which the corresponding processes attached to the socket. 
 Active IPX sockets
 Active NET/ROM sockets
 Active AX.25 sockets</pre>
",https://ss64.com/bash/netstat.html,"Enumeration, Networking",
"nft"""," nft [ -nNscae ] [ -I <i>directory</i>] [ -f <i>filename</i> | -i | <i>cmd</i>...]
 nft -h
 nft -v
"," -n, --numeric Show data numerically.
 When used once (the default behaviour), skip lookup of addresses to symbolic names.
 Use twice to also show Internet services (port numbers) numerically.
 Use three times to also show protocols and UIDs/GIDs numerically.
 -N, --reversedns Translate IP addresses to names. Usually requires network traffic for DNS lookup.
 -s, --stateless Omit stateful information of rules and stateful objects.
 -c, --check Check commands validity without actually applying the changes.
 -a, --handle Show object handles in output.
 -e, --echo When inserting items into the ruleset using <b>add</b>, <b>insert</b> or <b>replace</b> commands,
 print notifications just like <b>nft monitor</b>.
 -I, --includepath </b><i>directory</i>
 Add the directory <i>directory</i> to the list of directories to be searched for included files.
 This option may be specified multiple times.
 -f, --file </b><i>filename</i> Read input from <i>filename</i>. If <i>filename</i> is -, read from stdin.
 nft scripts must start #!/usr/sbin/nft -f
 -i, --interactive Read input from an interactive readline CLI.
 You can use <b>quit</b> to exit, or use the EOF marker, normally this is CTRL-D.
 -h, --help Show help message and all options.
 -v, --version Show version.</pre>
 <p>The Linux kernel subsystem is known as <span class=""code"">nf_tables</span>, and 'nf' stands for Netfilter.</p>

",https://ss64.com/bash/nft.html,,Networking,
"nftables for packet filtering and classification""",Not Available,Not Available,No link available,,Networking,
nice,Set the priority of a command or job,Not Available,Not Available,https://ss64.com/bash/nice.html,System Administration,Process management
nl,Number lines and write files," nl [<i>options</i>]... [<i>File</i>]...
",Not Available,https://ss64.com/bash/nl.html,System Utility,
nohup,Run a command immune to hangups,Not Available,Not Available,https://ss64.com/bash/nohup.html,System Administration,Command Execution
notify-send,Send desktop notifications," notify-send [<i>OPTIONS</i>] <i>summary</i> [<i>body</i>]
 
"," -u, --urgency=<i>LEVEL
 </i> The urgency level (low, normal, critical).
 
 -t, --expire-time=<i>TIME</i>
 The timeout in milliseconds at which to expire the
 notification.
 
 -i, --icon=<i>ICON</i>[,<i>ICON</i>...]
 An icon filename or stock icon to display.
 
 -c, --category=TYPE[,TYPE...]
 Specifies the notification category.
 
 -?, --help
 Show a help message
 
 -h, --hint=<i>TYPE</i>:<i>NAME</i>:<i>VALUE</i>
 Pass extra data. Valid TYPEs are int, double, string and byte.
 </pre>
",https://ss64.com/bash/notify-send.html,System Utility,
nslookup,Query Internet name servers interactively," nslookup
 nslookup <i>host-to-find</i> 
 nslookup <i>server</i> 
 <b>nslookup is deprecated</b>; its functionality is replaced by the <a href=""dig.html"">dig</a> and <a href=""hostname.html"">host</a> commands.
 nslookup may not be included in some distributions.
",Not Available,https://ss64.com/bash/nslookup.html,Enumeration,DNS
open,Open a file in its default application," open <i>Files</i>...
",Not Available,https://ss64.com/bash/open.html,File Manipulation,
op,Operator access," op <i>mnemonic</i> [arg] 
"," -V Show version number.
 
 -l List available commands.
 Note that this will only display commands you are permitted to run.</pre>
 <p><b> Configuration</b></p>
 <p>Key:<br>
",https://ss64.com/bash/op.html,System Administration,User/Group Management
passwd,Modify a user password,Not Available,Not Available,https://ss64.com/bash/passwd.html,System Administration,User/Group Management
paste,Merge lines of files," paste [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/paste.html,File Manipulation,
pathchk,Check file name portability,Not Available,Not Available,No link available,Enumeration,
Perf,Performance analysis tools for Linux,Not Available,Not Available,https://ss64.com/bash/perf.html,"Enumeration, System Administration",
ping,Test a network connection,Not Available,Not Available,https://ss64.com/bash/ping.html,Networking,
pgrep,List processes by name," pgrep [-flvx] [-d <i>delimiter</i>] [-n|-o] [-P <i>ppid</i>,...] [-g <i>pgrp</i>,...]
 [-s <i>sid</i>,...] [-u <i>euid</i>,...] [-U <i>uid</i>,...] [-G gid,...]
 [-t <i>term</i>,...] [<i>pattern</i>]
 pkill [-signal] [-fvx] [-n|-o] [-P <i>ppid</i>,...] [-g <i>pgrp</i>,...]
 [-s <i>sid</i>,...] [-u <i>euid</i>,...] [-U <i>uid</i>,...] [-G <i>gid</i>,...]
 [-t <i>term</i>,...] [<i>pattern</i>]
 Key
 3. Syntax error in the command line.<br>
 4. Fatal error: out of memory etc.</p>
"," <i>pattern</i>
 An Extended Regular Expression to match process names or command lines.
 -d <i>delimiter</i>
 Set the string used to delimit each process ID in the output
 (by default a newline). (pgrep only.) 
 -f
 The pattern is normally only matched against the process name.
 When -f is set, the full command line is used. 
 -g <i>pgrp</i>,...
 Only match processes in the process group IDs listed.
 Process group 0 is translated into pgrep's or pkill's own process group. 
 -G <i>gid</i>,...
 Only match processes whose real group ID is listed.
 Either the numerical or symbolical value can be used. 
 -l
 List the process name as well as the process ID. (pgrep only.) 
 -n
 Select only the newest (most recently started) of the matching processes. 
 -o
 Select only the oldest (least recently started) of the matching processes. 
 -P <i>ppid</i>,...
 Only match processes whose parent process ID is listed. 
 -s <i>sid</i>,...
 Only match processes whose process session ID is listed.
 Session ID 0 is translated into pgrep's or pkill's own session ID. 
 -t <i>term</i>,...
 Only match processes whose controlling terminal is listed.
 The terminal name should be specified without the ""/dev/"" prefix. 
 -u <i>euid</i>,...
 Only match processes whose effective user ID is listed.
 Either the numerical or symbolical value can be used. 
 -U <i>uid</i>,...
 Only match processes whose real user ID is listed.
 Either the numerical or symbolical value can be used. 
 -v
 Negates the matching. 
 -x
 Only match processes whose name (or command line if -f is specified)
 exactly match the pattern. 
 -signal
 Defines the signal to send to each matched process.
 Either the numeric or the symbolic signal name can be used. (pkill only.)</pre>
",https://ss64.com/bash/pkill.html,"Enumeration, System Administration",
pkill,Kill processes by name," pgrep [-flvx] [-d <i>delimiter</i>] [-n|-o] [-P <i>ppid</i>,...] [-g <i>pgrp</i>,...]
 [-s <i>sid</i>,...] [-u <i>euid</i>,...] [-U <i>uid</i>,...] [-G gid,...]
 [-t <i>term</i>,...] [<i>pattern</i>]
 pkill [-signal] [-fvx] [-n|-o] [-P <i>ppid</i>,...] [-g <i>pgrp</i>,...]
 [-s <i>sid</i>,...] [-u <i>euid</i>,...] [-U <i>uid</i>,...] [-G <i>gid</i>,...]
 [-t <i>term</i>,...] [<i>pattern</i>]
 Key
 3. Syntax error in the command line.<br>
 4. Fatal error: out of memory etc.</p>
"," <i>pattern</i>
 An Extended Regular Expression to match process names or command lines.
 -d <i>delimiter</i>
 Set the string used to delimit each process ID in the output
 (by default a newline). (pgrep only.) 
 -f
 The pattern is normally only matched against the process name.
 When -f is set, the full command line is used. 
 -g <i>pgrp</i>,...
 Only match processes in the process group IDs listed.
 Process group 0 is translated into pgrep's or pkill's own process group. 
 -G <i>gid</i>,...
 Only match processes whose real group ID is listed.
 Either the numerical or symbolical value can be used. 
 -l
 List the process name as well as the process ID. (pgrep only.) 
 -n
 Select only the newest (most recently started) of the matching processes. 
 -o
 Select only the oldest (least recently started) of the matching processes. 
 -P <i>ppid</i>,...
 Only match processes whose parent process ID is listed. 
 -s <i>sid</i>,...
 Only match processes whose process session ID is listed.
 Session ID 0 is translated into pgrep's or pkill's own session ID. 
 -t <i>term</i>,...
 Only match processes whose controlling terminal is listed.
 The terminal name should be specified without the ""/dev/"" prefix. 
 -u <i>euid</i>,...
 Only match processes whose effective user ID is listed.
 Either the numerical or symbolical value can be used. 
 -U <i>uid</i>,...
 Only match processes whose real user ID is listed.
 Either the numerical or symbolical value can be used. 
 -v
 Negates the matching. 
 -x
 Only match processes whose name (or command line if -f is specified)
 exactly match the pattern. 
 -signal
 Defines the signal to send to each matched process.
 Either the numeric or the symbolic signal name can be used. (pkill only.)</pre>
",https://ss64.com/bash/pkill.html,System Administration,Process management
popd,Restore the previous value of the current directory," popd [+<i>N</i> | -<i>N</i>] [-n]
"," +<i>N</i> Remove the <i>N</i>th directory (counting from the left of the list 
 printed by dirs), starting with zero. 
 -<i>N</i> Remove the <i>N</i>th directory (counting from the right of the list 
 printed by dirs), starting with zero. 
 -n Suppress the normal change of directory when removing directories from 
 the stack, so that only the stack is manipulated. </pre>
",https://ss64.com/bash/popd.html,System Administration,Disk/Volume Management
pr,Prepare files for printing," pr [<i>options</i>] [<i>file</i> ...]
",Not Available,https://ss64.com/bash/pr.html,Printing,
printcap,Printer capability database,Not Available,Not Available,No link available,Printing,
printenv,Print environment variables," printenv [<i>OPTION</i>]... [<i>VARIABLE</i>]... 
 
"," <i>VARIABLE</i> The name of the environment variable.
 -0, --null End each output line with 0 byte rather than newline.
 --help Display this help and exit
 --version Output version information and exit</pre>
",https://ss64.com/bash/printenv.html,System Utility ,Variable
printf,Format and print data •," printf [-v <i>var</i>] <i>format</i> [<i>argument</i>]...
 printf --help
 printf --version
"," -v Cause the output to be assigned to the variable var rather than being printed to the standard output. 
 The <i>format</i> characters and their meanings are:
 \"" double quote
 \0<i>NNN</i> character with octal value <i>NNN</i> (0 to 3 digits)
 \\ backslash
 \a alert (BEL)
 \b backspace
 \c produce no further output
 \f form feed
 \n new line
 \r carriage return
 \t horizontal tab
 \v vertical tab
 \x<i>NNN</i> byte with hexadecimal value <i>NNN</i> (1 to 3 digits)
 \u<i>NNNN</i> character with hexadecimal value <i>NNNN</i> (4 digits)
 \U<i>NNNNNNNN</i>
 character with hexadecimal value <i>NNNNNNNN</i> (8 digits)
 %% a single %
 %<b>b</b> ARGUMENT as a string with '\' escapes interpreted
 %<i>W</i><b>d</b> Integer '<i>W</i>' digits wide xxxx
 %<i>W.D</i><b>e</b> Scientific notation x.xxxx e nnn. float, double
 %<i>W.D</i><b>f</b> Fixed format xx.xxxx. float, double
 %<i>W.D</i><b>g</b> Variable '<i>W</i>' digits wide,'<i>D</i>' decimals xxxx.xx
 %<b>q</b> Output the corresponding <i>argument</i> in a format that can be
 reused as shell input
 %(<i>datefmt</i>)<b>T</b>
 Output the date-time string resulting from using datefmt as a format string for strftime(3).
 The corresponding argument is an integer representing the number of seconds since the epoch.
 Two special argument values may be used: -1 represents the current time, and -2 represents
 the time the shell was invoked.
 If no argument is specified, conversion behaves as if -1 had been given.
 This is an exception to the usual printf behavior. 
 %<b>s</b> Character string char
 and all C format specifications ending with one of diouxXfeEgGcs, with
 ARGUMENTs converted to proper type first. Variable widths are handled.
 e.g. '\0ooo' = an octal number, '\xhhh' = a hex number</pre>
",https://ss64.com/bash/printf.html,System Utility ,
ps,Process status," ps <i>option(s)</i>
",Not Available,https://ss64.com/bash/ps.html,"System Administration, Enumeration",Process management
pushd,Save and then change the current directory," pushd [<i>dir</i> | <i>+N</i> | <i>-N</i>] [-n]
"," +<i>N</i> Brings the <i>N</i>th directory (counting from the left of the list printed by dirs,
 starting with zero) to the top of the list by rotating the stack.
 
 -<i>N</i> Brings the <i>N</i>th directory (counting from the right of the list printed by dirs,
 starting with zero) to the top of the list by rotating the stack. 
 -n Suppresses the normal change of directory when adding directories to the 
 stack, so that only the stack is manipulated. 
 dir Makes the current working directory be the top of the stack, and then executes 
 the equivalent of 'cd dir'. cds to dir.</pre>
",https://ss64.com/bash/pushd.html,System Administration,Disk/Volume Management
pv,Monitor the progress of data through a pipe," pv [<i>OPTION</i>] [<i>FILE</i>]...
 pv [-h|-V] 
",Not Available,https://ss64.com/bash/pv.html,System Utility ,
pwd,Print Working Directory," pwd [-LP]
",Not Available,https://ss64.com/bash/pwd.html,System Utility ,
quota,Display disk usage and limits," quota [ -guv | q ]
 quota [ -uv | q ] <i>user</i>
 quota [ -gv | q ] <i>group</i>
",Not Available,https://ss64.com/bash/quota.html,Enuemration,
quotacheck,Scan a file system for disk usage," quotacheck [ -gubcfinvdMmR ] [ -F <i>quota-format</i> ] -a | <i>filesystem</i>
",Not Available,https://ss64.com/bash/quotacheck.html,Enuemration,
ram,Ram is a block device to access the ram disk in raw mod,Not Available,Not Available,https://ss64.com/bash/ram.html,System Administration,
rar,Archive files with compression," rar <i>command</i> [-<i>switch_1</i> -<i>switch_N</i>] <i>archive </i>[<i>files</i>...]</pre>
",Not Available,https://ss64.com/bash/rar.html,File Manipulation,File Compression
rcp,Copy files between two machines," rcp [<i>options</i>] <i>file1 file2</i>
 rcp [<i>options</i>] <i>file</i> ... <i>directory</i>
",Not Available,https://ss64.com/bash/rcp.html,"File Manipulation, Remote Connectivity",File Transfer
read,Read a line from standard input •," read [-ers] [-a <i>aname</i>] [-d <i>delim</i>] [-i <i>text</i>] [-n <i>nchars</i>]
 [-N <i>nchars</i>] [-p <i>prompt</i>] [-r] [-s] [-t <i>timeout</i>] [-u <i>fd</i>]
 [<i>name</i>...]
"," -a <i>aname</i><br> The <i>words</i> are assigned to sequential indices of the array variable <i>aname</i>, starting at 0.<br> aname is unset before any new values are assigned. Other name arguments are ignored.<br><br> -d <i>delim</i><br> The first character of <i>delim</i> is used to terminate the input line, rather than newline.
",https://ss64.com/bash/read.html,System Utility ,
